mes,baja_L,baja_M,baja_H,media_L,media_M,media_H,alta_L,alta_M,alta_H,EUR_baja_L,EUR_baja_M,EUR_baja_H,EUR_media_L,EUR_media_M,EUR_media_H,EUR_alta_L,EUR_alta_M,EUR_alta_H
0,0.02049226148448,0.0313278580645,0.044414151724140004,0.09292896129032001,0.12807649999999998,0.17311120000000002,0.2592616,0.29138,0.36172420000000005,0.0006147678445343999,0.0009398357419350001,0.0013324245517242002,0.0027878688387096002,0.0038422949999999995,0.005193336000000001,0.0077778479999999995,0.008741399999999998,0.010851726
1,0.01010674747718048,0.015450844734664874,0.021904981850296438,0.04823270605594578,0.06647525261662232,0.08984950986923154,0.17872429495866807,0.20086540029474748,0.24935780159687457,0.0009179702688498143,0.0014033610839749465,0.0019895740072330935,0.0042348500203879735,0.005836552578498668,0.007888821296076948,0.01313957684876004,0.014767362008842424,0.01833246004790624
2,0.005939813121925062,0.009080580127979217,0.012873726084845133,0.03063773142050313,0.04222551671506535,0.05707299831870034,0.13296083669023617,0.14943257541726584,0.18550819821796338,0.0010961646625075663,0.001675778487814323,0.0023757857897784476,0.005153981963003067,0.00710331807995063,0.009601011245637957,0.017128401949467124,0.019250339271360394,0.02389770599444514
3,0.0038789337789427547,0.005929979322211291,0.008407054219776219,0.02164688852494324,0.029834162350135803,0.040324553258613643,0.10401072242221174,0.11689600117944213,0.14511672904740466,0.0012125326758758489,0.0018536778674806613,0.002627997416371734,0.005803388618751365,0.007998342950454703,0.010810747843396367,0.02024872362213348,0.02275721930674366,0.02825120786586728
4,0.0027179655656631124,0.004155131415328664,0.005890815667454515,0.016335894649503597,0.02251444740182506,0.030431054932535003,0.0843145319672961,0.09475976513541048,0.11763642060468892,0.0012940716428457419,0.001978331809940521,0.0028047218863953695,0.006293465458236473,0.008673776372509455,0.011723679491372417,0.02277815958115236,0.025600012260805976,0.03178030048400794
5,0.00200296629111273,0.0030620653422503345,0.004341153308979268,0.012893149822389448,0.017769589590788545,0.024017793877634964,0.07018946488005799,0.07888482627875203,0.09792899539371461,0.001354160631579124,0.002070193770208031,0.002934956485664748,0.006680259952908156,0.009206864060233112,0.012444213307701468,0.0248838435275541,0.027966557049168537,0.03471817034581938
6,0.0015330511160797247,0.0023436753335664188,0.003322676949149561,0.010512027777857367,0.014487880925351434,0.019582159509704728,0.059647009407491354,0.06703632779075201,0.08322006328865242,0.0014001521650615157,0.0021405040302150237,0.0030346367941392347,0.006995620786243877,0.009641500487993655,0.013031678092992608,0.026673253809778842,0.029977646882891097,0.03721477224447896
7,0.0012085263554164093,0.0018475531438229393,0.002619314269083386,0.008784442884427862,0.01210688985936852,0.016363956165441094,0.05152803778452943,0.05791154436158763,0.07189239843146338,0.001436407955724008,0.0021959306245297123,0.0031132162222117362,0.007259154072776713,0.01000470718377471,0.013522596777955842,0.02821909494331472,0.031714993213738725,0.03937154419742286
8,0.000975488152109112,0.0014912924274375725,0.002114236089837523,0.007484031713898942,0.01031463791799665,0.013941506424284723,0.045115554969719536,0.050704656636682326,0.06294564265968361,0.0014656726002872814,0.0022406693973528393,0.0031766433049068617,0.007483675024193681,0.01031414632131461,0.013940841970684383,0.02957256159240631,0.03323613291283919,0.041259913477213375
9,0.0008027805526885286,0.0012272630441795902,0.0017399161773970521,0.0064761647683301135,0.008925576111410073,0.012064017921613502,0.03994450618017392,0.044892996921947086,0.055730947207062176,0.0014897560168679372,0.002277487288678227,0.0032288407902287737,0.007677959967243585,0.010581913604656913,0.01430276250833279,0.030770896777811526,0.03458292282049761,0.042931841893425235
10,0.0006714068439259897,0.0010264234782470156,0.0014551817747074582,0.005676265793106636,0.007823139802236763,0.010573939160837226,0.03570131035992508,0.04012413644240015,0.04981080086250959,0.0015098982221857168,0.0023082799930256373,0.0032724962434699974,0.007848247941036786,0.010816607798724015,0.014619980683157903,0.031841936088609274,0.03578664691376961,0.04442616591930052
11,0.0005692650502481131,0.0008702726494467181,0.0012338035180801546,0.00502880297914346,0.006930793972248533,0.009367823617046925,0.03216756748376319,0.036152618873828285,0.044880489875902395,0.00152697617369316,0.0023343881725090393,0.003309510349012402,0.00799911203041109,0.011024531617891471,0.014901015391669312,0.03280696311312217,0.03687122547998446,0.04577258061557759
12,0.000488357886500491,0.0007465845858229741,0.0010584483944410074,0.004495962086189965,0.006196422300825719,0.008375229649488404,0.029186940615839617,0.03280273961374668,0.04072189149766913,0.001541626910288175,0.002356785710083728,0.003341263800845632,0.008133990892996788,0.011210424286916243,0.015152272281153964,0.03368257133159736,0.03785530766839686,0.04699423736050766
13,0.00042323373181462666,0.0006470250386195352,0.0009173007671127619,0.004051194298067635,0.005583434693684745,0.0075467012289170835,0.02664485544427368,0.029945730410336373,0.037175150580323287,0.0015543239222426137,0.0023761964612423144,0.0033687828238590147,0.008255526721938817,0.011377927327726786,0.015378673318021476,0.03448191699492557,0.038753679580706954,0.04810949187791736
14,0.00037007571663253276,0.0005657589101409178,0.0008020880975184491,0.003675368537097807,0.005065464327864394,0.006846600339280032,0.02445561250445266,0.027485274994628647,0.03412069843232911,0.0015654261937415898,0.002393169228546542,0.0033928454667845683,0.008365787778051754,0.011529891257562716,0.01558407132819988,0.03521558537005915,0.03957823783054581,0.04913311283088723
15,0.0003261487861669429,0.0004986049435629785,0.0007068825314586931,0.0033543861366575065,0.004623080147096903,0.006248663509387918,0.02255395353768366,0.025348030644762914,0.03146748612311192,0.001575210657326598,0.002408127376853431,0.003414051942728329,0.008466419362151478,0.011668583661975625,0.015771531233481517,0.03589220397618966,0.040338678749888696,0.05007713741458059
16,0.0002894527892130755,0.00044250537714973776,0.0006273490169360521,0.0030776520056776395,0.00424167979101507,0.0057331538466335995,0.02088939452313525,0.023477259170471634,0.029145077876420886,0.0015838942410029903,0.002421402538167923,0.0034328724132364104,0.008558748922321807,0.011795834055706077,0.015943525848880525,0.03651888581188372,0.04104299652500285,0.05095148975087321
17,0.0002584984499736028,0.00039518345775548154,0.0005602597539699481,0.002837066004423612,0.003910099489656196,0.00528498213781429,0.01942232788257808,0.021828446242812667,0.027098212830065277,0.0015916491945021985,0.002433258041900588,0.003449680205855509,0.008643860902454517,0.011913137040395764,0.016102075313014955,0.037101555648361054,0.04169784991228723,0.05176443613577517
18,0.00023215896308121997,0.00035491656444645023,0.0005031725472670529,0.0026263404427802166,0.003619673426337746,0.00489243546194219,0.018121285410534232,0.020366225244777724,0.02528298625055607,0.001598613963394635,0.002443905538833981,0.0034647753822735204,0.008722651115737922,0.012021727243185894,0.01624884837687322,0.03764519421067708,0.04230883666963056,0.052522925723291855
19,0.00020956943348870652,0.00032038247569523784,0.0004542128560461159,0.0024405277924296085,0.003363582821404786,0.004546297396577579,0.016960980335477452,0.01906217677493088,0.02366411779864937,0.0016049010463992962,0.002453517013104838,0.003478401767954904,0.008795866949510811,0.01212263472782804,0.016385237298770543,0.03815402362074141,0.042880701972878486,0.05323284925725134
20,0.00019005734193981206,0.000290553067406248,0.0004119230875320724,0.002275687280941682,0.003136396425727483,0.004239226938067449,0.015920883184923948,0.017893228084772828,0.022212964563051635,0.0016106027666574908,0.0024622336051270256,0.003490759460580866,0.008864137567939063,0.012216726620599864,0.016512414106912565,0.03863165011628913,0.043417498815421667,0.053899238194142884
21,0.000173093578918739,0.00026461945531729034,0.0003751564697919604,0.002128645281486047,0.002933740285146674,0.003965312147428162,0.0149841701845939,0.016840471201238327,0.02090605385713149,0.0016157955740250527,0.0024701721887865446,0.0035020141546746246,0.008927996926383642,0.012304738829154263,0.016631373471335413,0.03908117522182695,0.04392271295145881,0.05452641980985683
22,0.00015825738902406852,0.000241938403175231,0.00034300107349814003,0.001996820312440738,0.0027520565515344467,0.0037197441537205503,0.014136936026835023,0.015888278169613967,0.019723984866089225,0.001620543295695775,0.002477430340881801,0.0035123041868795686,0.008987901535756865,0.012387300525700298,0.01674296579594703,0.039505283302632005,0.044399361296547236,0.0551181393558395
23,0.0001452108944757423,0.00022199337515776285,0.00031472459514184065,0.0018780933439607802,0.0025884247367870747,0.003498575556756273,0.013367597126466959,0.015023630382246899,0.018650596063950697,0.0016248996225300472,0.0024840901421365343,0.003521745924733824,0.00904424433607569,0.012464953267803908,0.016847923062649716,0.03990631121642601,0.04485007020801463,0.05567765723775803
24,0.00013368032457352724,0.00020436584012103846,0.0002897336744720727,0.0017707103943882887,0.002440427469304932,0.0032985389804088966,0.01266643405314232,0.014235604325533011,0.01767232681093407,0.001628910032267253,0.0024902211173401657,0.0035304379349679863,0.009097365647907339,0.012538166091883057,0.016946879232061982,0.040286304238020286,0.045277138337780624,0.056207827042086045
25,0.00012344201093484513,0.00018871386160537355,0.00026754354110430597,0.0016732084818253405,0.0023060484390115066,0.003116909132709036,0.012025236958219172,0.01351497308080295,0.016777722649718524,0.0016326132925952982,0.002495882533188327,0.0035384642412011153,0.009147561902362097,0.012607347545053403,0.01704038650604325,0.04064706134676686,0.04568258753020472,0.0567111587215776
26,0.00011431181683257849,0.00017475593777379592,0.00024775510406742574,0.0015843586985391312,0.0021835939413925656,0.002951396762928381,0.011437028122835497,0.012853894500503765,0.015957048201932614,0.0016360426471002758,0.002501125211321541,0.0035458968943231383,0.009195092663318272,0.012672855363295179,0.017128928408931102,0.04099017219045193,0.04606820436521982,0.05718987016763558
27,0.00010613707279679274,0.00016225867283987578,0.00023003747333221505,0.0015031219960733749,0.002071631939677614,0.0028000662965955462,0.0108958428851853,0.012245664995839308,0.015201981515848645,0.0016392267592841795,0.0025059929715067373,0.0035527980185231043,0.009240186323200474,0.012735004321485506,0.01721293039782897,0.041317047477007485,0.046435574315095006,0.05764592961311105
28,9.879036301219281e-05,0.00015102727792783393,0.0002141144926844437,0.0014286145147094096,0.00196894428122957,0.002661271250048123,0.010396555207652033,0.01168452349443824,0.014505370696021957,0.0016421904701745453,0.002510523789844572,0.003559221453303638,0.009283044758641756,0.012794072649922395,0.017292768535330412,0.04162894413323704,0.046786110019928155,0.0580810907339917
29,9.216469348840545e-05,0.00014089818433898345,0.00019975426740006632,0.001360080156185327,0.0018744888967333702,0.0025336031379698063,0.009934737699546562,0.011165494122129452,0.013861038605710686,0.0016449554109791975,0.0025147507353747416,0.00356521408132564,0.009323847163327317,0.012850307316824395,0.017368776629469507,0.04192698626422344,0.047121074843592035,0.058496921892163024
30,8.616970237763553e-05,0.00013173325001690392,0.00018676095063118446,0.0012968687077980572,0.0017873696504084305,0.002415850722230729,0.009506548468137276,0.010684259036609505,0.013263625000378698,0.0016475405020505264,0.002518702732875249,0.0035708169098445756,0.009362753224561258,0.012903928406336649,0.017441252151136427,0.042212182718267564,0.04744160261469032,0.05889483064217438
31,8.072866377542586e-05,0.00012341517906204192,0.0001749682495572466,0.0012384182603997621,0.0017068121081496694,0.002306967259538784,0.009108639030401232,0.010237054930920393,0.012708458045312773,0.001649962361963789,0.0025224051882471103,0.0035760659573312926,0.00939990577237325,0.012955132769581138,0.017510461168922593,0.0424854418891796,0.04774871426261793,0.05927608438353376
32,7.577610104903386e-05,0.00011584387307097558,0.00016423425260332885,0.0011842409761852963,0.0016321439224156614,0.0022060439891945995,0.008738078884786808,0.009820588260849968,0.012191449077443017,0.0016522356449952603,0.00252588050443924,0.003580992984909393,0.00943543300165881,0.013004097087253608,0.01757664248859843,0.042747584255723205,0.04804333191044343,0.05964182785585705
33,7.125587228644893e-05,0.00010893350423732683,0.0001544372799148182,0.0011339114907455386,0.0015627788477132008,0.0021122885280457347,0.00839229335676475,0.009431965390532624,0.011709005886876593,0.0016543733211638538,0.0025291485095663593,0.0035856261033068372,0.009469450346381176,0.013050980452685004,0.0176400111444398,0.042999353056426146,0.0483262908721594,0.05999309803246335
34,6.71196242947859e-05,0.0001026101518781677,0.00014547253261206082,0.0010870574022966864,0.0014982036326683244,0.0020250071535025775,0.008069012091839694,0.009068634704561918,0.011257960853867448,0.0016563869098926974,0.0025322268141227044,0.003589990279285199,0.009502062068450078,0.013095926561665054,0.01770076135904488,0.043241423419181337,0.048598349913296264,0.06033083685807937
35,6.332553641339311e-05,9.680988201910245e-05,0.00013724937017845027,0.0010433514263077997,0.0014379672073815636,0.0019435901889142146,0.007766226143821088,0.008728338380178896,0.01083551107797209,0.0016582866759850994,0.0025351311105832773,0.0035941077603905526,0.009533362611239313,0.013139065577886501,0.017759069064712307,0.04347441020349597,0.04886020006470163,0.06065590219041853
36,5.983729380634343e-05,9.147717779946533e-05,0.00012968908521344288,0.0010025048878209274,0.0013816717144171024,0.0018674998808431052,0.007482152043462819,0.008409072004586087,0.0104391682462808,0.0016600817947992894,0.0025378754259172613,0.003597998432946956,0.00956343775787394,0.013180515729319013,0.0178150940611376,0.04369887476479986,0.04911247222483921,0.06096907723780696
37,5.6623243648030526e-05,8.656364947814908e-05,0.00012272307458116504,0.0009642622949782388,0.0013289650299324366,0.0017962602904486,0.007215201568241177,0.008109050599680454,0.010066716455930172,0.0016617804921087306,0.002540472335401606,0.003601680125184391,0.009592365626723288,0.013220384680216989,0.017868981869851055,0.0439153308118471,0.049355743742829625,0.061271078731484865
38,5.3655697973982715e-05,8.202696865612755e-05,0.00011629132843566052,0.0009283967916215882,0.0012795344963627416,0.0017294488224361994,0.0069639561935514295,0.00782667990815846,0.009716176568174525,0.00166339016304795,0.0025429331444612895,0.0036051688650374607,0.009620217530471936,0.013258770715107872,0.017920865334524142,0.044124249497653645,0.049590544140074376,0.061562564028530095
39,5.091035483340962e-05,7.782998335456092e-05,0.00011034117564883478,0.0008947063286207996,0.0012331016456711245,0.0016666890928788906,0.006727145407619726,0.00756053202198951,0.009385775953148942,0.0016649174736929522,0.002545268043961927,0.003608479100306926,0.009647058720330559,0.013295763764478006,0.01797086600731051,0.044326063859882234,0.049817360100734065,0.06184413730712456
40,4.836581539469876e-05,7.393997978244033e-05,0.0001048262372031901,0.0008630104259497848,0.00118941773677902,0.001607644897503448,0.006503628230712154,0.0073093246121481445,0.009073922705297544,0.0016663684481547931,0.0025474862433554,0.0036116238874230214,0.009672949033109052,0.013331446296581376,0.01801909535423561,0.04452117270680359,0.050036639839098514,0.06211635498828348
41,4.60031792871228e-05,7.032806370903578e-05,9.970554915076197e-05,0.0008331474227608246,0.0011482599655651363,0.001552015089036158,0.006292377404010148,0.007071903158741892,0.008779183583545146,0.0016677485435334068,0.002549596085266671,0.003614615053897544,0.009697943455791877,0.01336589409554833,0.018065655806906694,0.0447099440289239,0.050248796933860765,0.06237973049578984
42,4.3805704052795595e-05,6.6968639845867e-05,9.494282452218126e-05,0.0008049721325046674,0.0011094282331064135,0.0014995292090815334,0.006092465812478729,0.0068472256918882405,0.008500265068356513,0.0016690627146549906,0.002551605144462047,0.0036174633386332096,0.009722092619767019,0.013399176942541521,0.018110641683179142,0.04489271800329826,0.05045421370461742,0.06263473844784054
43,4.175851738396716e-05,6.38389719250684e-05,9.050582964068198e-05,0.0007783538357723688,0.0010727423793736508,0.001449943749120471,0.005903054784966626,0.006634349642382734,0.008235997037927042,0.0016703154701765094,0.0025535203136197986,0.0036201785135224302,0.009745443234840188,0.01343135921392273,0.018154139995652754,0.04506980964684726,0.0506532441938889,0.06288181835897834
44,3.984837301880654e-05,6.0918809521334815e-05,8.636585505986241e-05,0.0007531745559433937,0.0010380398066962174,0.001403038938329438,0.005723383978040938,0.006432420472301213,0.007985318654014617,0.0016715109213670737,0.002555347877905439,0.003622769489174226,0.009768038471518489,0.013462500408123615,0.01819623116380264,0.04524151116618848,0.05084621680805793,0.06312137791859877
45,3.806344290351044e-05,5.8190070316567304e-05,8.249726510370808e-05,0.000729327572631034,0.001005173430963644,0.001358615974376514,0.005552762601034652,0.0062406618129698995,0.007747266119044158,0.0016726528246541789,0.002557093580014936,0.003625244407127337,0.00978991829869742,0.013492655611052526,0.018236989643033937,0.04540809404421952,0.05103343666244703,0.06335379590217009
46,3.639313960500948e-05,5.5636568610582597e-05,7.887711297061441e-05,0.0007067161358667289,0.0009740099094894704,0.00131649462816062,0.00539056178105918,0.006058366884124081,0.007520962023701958,0.0016737446188423296,0.002558762677073254,0.003627610720516455,0.009811119782773423,0.01352187590833721,0.018276484481878755,0.045569810897651296,0.05121518766897075,0.06357942476288116
47,3.482796405637034e-05,5.324378255956871e-05,7.548481074253573e-05,0.0006852523503775943,0.0009444281033008598,0.0012765111654061115,0.005236207900307648,0.005884891005808969,0.007305606051079158,0.0016747894577640206,0.0025603599905500408,0.003629875264838731,0.00983167735328475,0.013550208751436236,0.018314779816840935,0.04572689713466053,0.051391734399145024,0.06379859294441353
48,3.335937459694615e-05,5.0998653969212484e-05,7.230184554756501e-05,0.0006648562045086081,0.0009163177387802857,0.001238516537706307,0.0050891767654057726,0.005719645045405621,0.007100466841695767,0.001675790239001929,0.002561889950169117,0.003632044320205158,0.00985162303942001,0.013577698283599643,0.018351935312972127,0.045879572437622695,0.051563323750507185,0.06401160694966442
49,3.197967397799192e-05,4.888941555280654e-05,6.931153466018283e-05,0.000645454722572149,0.0008895782394171981,0.0012023748034916514,0.004948988491074959,0.005562089667461056,0.0069048748551397395,0.0016767496292212688,0.0025633566326357013,0.0036341236662449632,0.009870986681097173,0.01360438563078216,0.018388006557076873,0.04602804209235495,0.05173018644053102,0.06421875319531861
50,3.06819115777716e-05,4.690544144109915e-05,6.649881356598232e-05,0.000626981222867581,0.0008641177031961981,0.0011679617458435993,0.004815202998915557,0.005411730274842148,0.006718216089927437,0.001677670086568602,0.0025647637958789342,0.003636118630651943,0.009889796117783201,0.013630309161878046,0.018423045409452183,0.04617249818232241,0.05189253834877629,0.06442029967801643
51,2.945979853601217e-05,4.503711744279324e-05,6.385005202729796e-05,0.0006093746664547651,0.0008398520050640388,0.0011351636593679704,0.004687416047455176,0.0052681125469698905,0.006539926544590043,0.001678553880524682,0.002566114909402218,0.0036380341322127616,0.009908077357776844,0.013655504722029968,0.01845710031923322,0.04631312066374607,0.05205058172518538,0.06461649747435413
52,2.8307633897639842e-05,4.327572813565401e-05,6.135289400993549e-05,0.0005925790841078348,0.0008167040071461855,0.0011038762827051392,0.004565255722339583,0.005130818495200629,0.006369487320755206,0.0016794031095416113,0.002567413181246288,0.00363987471903306,0.009925854730300077,0.013680005842244353,0.018490216607714372,0.046450078335416256,0.05220450628004139,0.06480758209397679
53,2.7220240167092197e-05,4.1613358344178145e-05,5.8996118006027925e-05,0.0005765430708143145,0.0007946028620556774,0.0010740038568659576,0.004448379326152378,0.004999462967343717,0.0062064202837944695,0.001680219716746624,0.002568661581996613,0.0036416446025732403,0.00994315102242451,0.013703843928106023,0.01852243672342035,0.04658352971520083,0.05235449016906171,0.06499377470249063
54,2.6192906930549587e-05,4.004280695121816e-05,5.676951484299429e-05,0.000561219338795209,0.000773483396856733,0.0010454582925825213,0.004336470616219432,0.004873690543273735,0.006050284208982283,0.0016810055039545406,0.0025698628662051497,0.003643347688018531,0.009959987602588365,0.013727048430011725,0.018553800472197828,0.046713623833687414,0.05250070088535993,0.0651752832287601
55,2.5221341414773163e-05,3.855751131405004e-05,5.4663780526637e-05,0.0005465643213644054,0.0007532855670960788,0.0010181584323641164,0.004229237346194601,0.004753172771957678,0.005900671351493494,0.0016817621441969836,0.002571019591544572,0.00364498760143433,0.009976384532229297,0.013749646997024608,0.01858434522516875,0.04684050095407325,0.05264329606851865,0.0653523033693049
56,2.4301625026306583e-05,3.715148082301335e-05,5.267042204585294e-05,0.0005325378210689696,0.0007339539718630702,0.0009920293950411072,0.004126409073485229,0.0046376057072552435,0.005757204387302963,0.001682491192947773,0.002572134135969262,0.003646567714095705,0.009992360666861367,0.0137716656161805,0.01861410610701998,0.046964293226277806,0.05278242423973631,0.06552501950092399
57,2.343017506031752e-05,3.581923836331728e-05,5.078167438182629e-05,0.0005191026964946859,0.0007154374221390018,0.0009670019923357462,0.004027735199862019,0.004526707705791351,0.005619533679426221,0.0016831940981995826,0.002573208713120162,0.0036480911643271604,0.010007933747756206,0.013793128738844668,0.018643116166790055,0.04708512528227367,0.05291822547091005,0.06569360551130679
58,2.26037108897133e-05,3.455576862613416e-05,4.899042722759778e-05,0.000506224582914998,0.0006976885557900489,0.0009430122084776079,0.003932983217073848,0.0044202174552304616,0.005487334830184896,0.0016838722095262736,0.002574245386178946,0.003649560877143988,0.010023120485243658,0.013814059395518368,0.018671406533044384,0.04720311477878588,0.05305083199456696,0.06585822555621233
59,2.1819224046697806e-05,3.335647237032217e-05,4.7290160143963794e-05,0.0004938716426319338,0.0006806634934822807,0.0009200007351302528,0.003841937133088854,0.004317892205553889,0.005360306485483617,0.0016845267862476748,0.002575246080350056,0.0036509795819483068,0.010037936634522616,0.013834479300322838,0.01869900655509829,0.04731837289277855,0.05318036876073357,0.06601903475077683
